,ARREST_DATE, TOP_CHARGE_DESCRIPTION,HOME_PSA,CRIME_PSA
0,7/1/17,Theft First Degree (theft From Motor Vehicle),Out of State,302
1,7/1/17,Assault On A Police Officer (simple Assault),607,605
2,7/1/17,Possession Of Bb Gun,702,306
3,7/1/17,Simple Assault,409,304
4,7/1/17,Simple Assault,302,304
5,7/1/17,Simple Assault,302,304
6,7/1/17,Metro - Fail To Pay Fare,302,608
7,7/1/17,Unauthorized Use Of A Vehicle,602,602
8,7/1/17,Absconder (Custody Order),708,Court
9,7/2/17,Simple Assault,506,604
10,7/2/17,Simple Assault,505,604
11,7/2/17,Simple Assault,606,604
12,7/2/17,Threats To Do Bodily Harm,604,107
13,7/2/17,Simple Assault,703,606
14,7/3/17,CPWOL Outside Home or Business in violation of 2nd Emergency Act of 2014 Act 20-0564,602,701
15,7/3/17,Absconder (Custody Order),608,608
16,7/3/17,Absconder (Custody Order),107,107
17,7/4/17,Robbery,703,703
18,7/4/17,Theft First Degree (all Other Larceny),607,206
19,7/4/17,Simple Assault,704,704
20,7/4/17,Simple Assault,308,308
21,7/4/17,Simple Assault,602,602
22,7/4/17,Destruction Of Property $1000 Or More,503,308
23,7/4/17,Failure To Appear (USAO),703,Court
24,7/5/17,Robbery,506,102
25,7/5/17,Assault With Significant Bodily Injury,705,705
26,7/5/17,Simple Assault,208,208
27,7/5/17,Simple Assault,701,701
28,7/5/17,Simple Assault,503,107
29,7/5/17,Simple Assault,603,107
30,7/5/17,Metro - Fail To Pay Fare,103,104
31,7/5/17,Metro - Fail To Pay Fare,302,101
32,7/5/17,Absconder (Custody Order),302,Court
33,7/5/17,Absconder (Custody Order),706,706
34,7/5/17,Unlawful Entry,507,507
35,7/6/17,Theft Second Degree (all Other Larceny),608,302
36,7/6/17,First Degree Child Sex Abuse (rape),Out of State,708
37,7/6/17,Credit Card Fraud-misd,608,308
38,7/6/17,Absconder (Custody Order),602,602
39,7/6/17,Absconder (Custody Order),708,Court
40,7/6/17,Absconder (Custody Order),602,Court
41,7/6/17,Absconder (Custody Order),604,Court
42,7/6/17,Absconder (Custody Order),608,Court
43,7/6/17,Unlawful Entry,Unknown,702
44,7/7/17,Robbery,403,404
45,7/7/17,Robbery,403,404
46,7/7/17,Theft Second Degree (all Other Larceny),401,402
47,7/7/17,Theft Second Degree (all Other Larceny),106,107
48,7/7/17,Simple Assault,506,506
49,7/7/17,Destruction Of Property Less Than $1000,605,507
50,7/7/17,Fugitive From Justice,701,306
51,7/7/17,Possession Of An Open Container Of Alcohol (poca),402,702
52,7/8/17,Assault With A Dangerous Weapon,501,501
53,7/8/17,Robbery,501,501
54,7/8/17,Robbery,501,501
55,7/8/17,Robbery,501,104
56,7/8/17,Robbery,501,501
57,7/8/17,Robbery,501,104
