Arrestee Type,Arrest Year,Arrest Date,Arrest Hour,CCN,Arrest Number#,Age,Defendant PSA,Defendant District,Defendant Race,Defendant Ethnicity,Defendant Sex,Arrest Category,Charge Description,Arrest Location PSA,Arrest Location District,Arrest Block GEOX,Arrest Block GEOY,Arrest Latitude,Arrest Longitude,Offense Location PSA,Offense Location District,Offense Block GEOX,Offense Block GEOY,Offense Latitude,Offense Longitude
Adult Arrest,2022,1/1/22,0,b9b25012f6ce6cf6a2ca1eea7f008a1c15b05525,0023125299c98b06e22b911ea1db3ba335359fa8,33,105,1D,BLACK,NOT HISPANIC,MALE,Weapon Violations,Unlawful Discharge Of A Firearm,705,7D,400900,130500,38.842,-76.989,705,7D,400900,130500,38.842,-76.989
Adult Arrest,2022,1/1/22,0,0d549005aeee909dfd139ed47fdd302500f09c7d,63e81c57fb1739d70e0a329e2f2a1577496ad16f,39,608,6D,BLACK,UNKNOWN,MALE,Weapon Violations,"Carry Rifle Or Shotgun Outside Home Or Business, Viol Of Inoperable Pistol Emgncy Act Of",604,6D,406100,135400,38.886,-76.929,604,6D,406200,135300,38.886,-76.929
Adult Arrest,2022,1/1/22,0,d5cd83fd1ea87d82c172859d6c65ca6bfbc95273,e089e799f8300451d887bfb056a8f208cc19fc82,27,NA,NA,BLACK,UNKNOWN,MALE,Simple Assault,Simple Assault,503,5D,402400,139100,38.92,-76.972,503,5D,402400,139100,38.92,-76.972
Adult Arrest,2022,1/1/22,0,94368e83f1a7713fe48b9397a18a244ee4823646,a863d7e597f882de83b698159a49461b431cabf3,32,507,5D,BLACK,NOT HISPANIC,MALE,Weapon Violations,CPWOL Outside Home or Business (Prior Felony) in violation of 2nd Emergency Act of 2014 Act 20-0564,507,5D,402000,136500,38.897,-76.977,507,5D,402000,136500,38.897,-76.977
Adult Arrest,2022,1/1/22,0,d97fee82ba22a1eb1ff55c632010543325c2327a,ca8235194fee94cb00923e8ce5e50e81f30a9644,28,608,6D,BLACK,UNKNOWN,MALE,Weapon Violations,Carrying a Pistol Without a License (Outside Home or Place of Business) 2015,507,5D,402000,136500,38.897,-76.977,507,5D,402000,136500,38.897,-76.977
Adult Arrest,2022,1/1/22,0,50e506737bcff78d784586e1a062debee919aead,7a1392bdff673468ac656984dc158fe0aeeaaed5,38,602,6D,BLACK,UNKNOWN,MALE,Narcotics,Poss W/i To Dist A Controlled Substance,604,6D,405900,135300,38.885,-76.932,604,6D,405900,135300,38.885,-76.932
Adult Arrest,2022,1/1/22,0,88c063daac789812be1ac02241ccb22cda0aa052,ac02a7532fe7fcc01bbe74871a2b94c588a52cb2,32,402,4D,BLACK,NOT HISPANIC,MALE,Weapon Violations,Carry Pistol W/o Lic -outside Home/business,704,7D,402100,131200,38.849,-76.976,704,7D,402100,131200,38.849,-76.976
Adult Arrest,2022,1/1/22,0,6d9dab213e6d515677534ea1ffab062d10057168,f419fca3b9c482620ae418f2166923af100bc582,30,606,6D,BLACK,NOT HISPANIC,MALE,Weapon Violations,Carrying a Pistol Without a License (Outside Home or Place of Business) 2015,507,5D,402100,137500,38.905,-76.976,507,5D,402100,137500,38.905,-76.976
Adult Arrest,2022,1/1/22,1,1358714cfe02eebefb93c5a3792679d9125cf296,1f5e661a46d77935864095ceb54e17fdba41f3cf,20,NA,NA,WHITE,HISPANIC,MALE,Release Violations/Fugitive (Warr),Fugitive From Justice,701,7D,401900,133000,38.865,-76.978,701,7D,401900,133000,38.865,-76.978
Adult Arrest,2022,1/1/22,1,fe5a7105617d266c74e465b7fa7fc59359d98cd0,c0902b5608557d131bd39159eee8a8050bfb9a30,24,NA,NA,BLACK,NOT HISPANIC,FEMALE,Simple Assault,Simple Assault,106,1D,399400,135200,38.885,-77.007,102,1D,399100,136400,38.895,-77.011
